STCOUNTYFP,STNAME,CTYNAME,POPESTIMATE2013
5001,Arkansas,Arkansas County,18755
5003,Arkansas,Ashley County,21278
5005,Arkansas,Baxter County,40983
5007,Arkansas,Benton County,239461
5009,Arkansas,Boone County,37328
5011,Arkansas,Bradley County,11120
5013,Arkansas,Calhoun County,5192
5015,Arkansas,Carroll County,27791
5017,Arkansas,Chicot County,11362
5019,Arkansas,Clark County,22582
5021,Arkansas,Clay County,15484
5023,Arkansas,Cleburne County,25625
5025,Arkansas,Cleveland County,8515
5027,Arkansas,Columbia County,24284
5029,Arkansas,Conway County,21088
5031,Arkansas,Craighead County,101653
5033,Arkansas,Crawford County,61667
5035,Arkansas,Crittenden County,49739
5037,Arkansas,Cross County,17521
5039,Arkansas,Dallas County,7892
5041,Arkansas,Desha County,12502
5043,Arkansas,Drew County,18686
5045,Arkansas,Faulkner County,119176
5047,Arkansas,Franklin County,17915
5049,Arkansas,Fulton County,12170
5051,Arkansas,Garland County,97654
5053,Arkansas,Grant County,18046
5055,Arkansas,Greene County,43160
5057,Arkansas,Hempstead County,22420
5059,Arkansas,Hot Spring County,33528
5061,Arkansas,Howard County,13543
5063,Arkansas,Independence County,36885
5065,Arkansas,Izard County,13411
5067,Arkansas,Jackson County,17729
5069,Arkansas,Jefferson County,73191
5071,Arkansas,Johnson County,25932
5073,Arkansas,Lafayette County,7284
5075,Arkansas,Lawrence County,17054
5077,Arkansas,Lee County,10010
5079,Arkansas,Lincoln County,14063
5081,Arkansas,Little River County,12733
5083,Arkansas,Logan County,22031
5085,Arkansas,Lonoke County,70742
5087,Arkansas,Madison County,15679
5089,Arkansas,Marion County,16444
5091,Arkansas,Miller County,43402
5093,Arkansas,Mississippi County,44695
5095,Arkansas,Monroe County,7690
5097,Arkansas,Montgomery County,9252
5099,Arkansas,Nevada County,8772
5101,Arkansas,Newton County,8042
5103,Arkansas,Ouachita County,24948
5105,Arkansas,Perry County,10335
5107,Arkansas,Phillips County,20437
5109,Arkansas,Pike County,11121
5111,Arkansas,Poinsett County,24187
5113,Arkansas,Polk County,20342
5115,Arkansas,Pope County,62588
5117,Arkansas,Prairie County,8375
5119,Arkansas,Pulaski County,391512
5121,Arkansas,Randolph County,17625
5123,Arkansas,St. Francis County,27508
5125,Arkansas,Saline County,113348
5127,Arkansas,Scott County,10934
5129,Arkansas,Searcy County,7991
5131,Arkansas,Sebastian County,127173
5133,Arkansas,Sevier County,17356
5135,Arkansas,Sharp County,17043
5137,Arkansas,Stone County,12423
5139,Arkansas,Union County,40604
5141,Arkansas,Van Buren County,16985
5143,Arkansas,Washington County,216000
5145,Arkansas,White County,78567
5147,Arkansas,Woodruff County,7018
5149,Arkansas,Yell County,21819
6000,California,California,38260787
6001,California,Alameda County,1579593
6003,California,Alpine County,1128
6005,California,Amador County,36620
6007,California,Butte County,221641
6009,California,Calaveras County,44655
6011,California,Colusa County,21250
6013,California,Contra Costa County,1093401
6015,California,Del Norte County,27816
6017,California,El Dorado County,181481
6019,California,Fresno County,951514
6021,California,Glenn County,27809
6023,California,Humboldt County,134403
6025,California,Imperial County,176438
6027,California,Inyo County,18357
6029,California,Kern County,862000
6031,California,Kings County,150337
6033,California,Lake County,63796
6035,California,Lassen County,32129
6037,California,Los Angeles County,9992484
6039,California,Madera County,151370
6041,California,Marin County,258409
6043,California,Mariposa County,17809
6045,California,Mendocino County,87054
6047,California,Merced County,262026
6049,California,Modoc County,9145
6051,California,Mono County,14067
6053,California,Monterey County,426712
6055,California,Napa County,139580
6057,California,Nevada County,97938
6059,California,Orange County,3104950
6061,California,Placer County,365398
6063,California,Plumas County,18895
6065,California,Riverside County,2286755
6067,California,Sacramento County,1457341
6069,California,San Benito County,57239
6071,California,San Bernardino County,2082738
6073,California,San Diego County,3209768
6075,California,San Francisco County,839572
6077,California,San Joaquin County,702046
6079,California,San Luis Obispo County,275696
6081,California,San Mateo County,748661
