STCOUNTYFP,STNAME,CTYNAME,POPESTIMATE2013
19021,Iowa,Buena Vista County,20649
19023,Iowa,Butler County,14975
19025,Iowa,Calhoun County,9898
19027,Iowa,Carroll County,20541
19029,Iowa,Cass County,13572
19031,Iowa,Cedar County,18226
19033,Iowa,Cerro Gordo County,43528
19035,Iowa,Cherokee County,11874
19037,Iowa,Chickasaw County,12274
19039,Iowa,Clarke County,9245
19041,Iowa,Clay County,16438
19043,Iowa,Clayton County,17793
19045,Iowa,Clinton County,48281
19047,Iowa,Crawford County,17360
19049,Iowa,Dallas County,74949
19051,Iowa,Davis County,8769
19053,Iowa,Decatur County,8216
19055,Iowa,Delaware County,17473
19057,Iowa,Des Moines County,40395
19059,Iowa,Dickinson County,16878
19061,Iowa,Dubuque County,95945
19063,Iowa,Emmet County,9880
19065,Iowa,Fayette County,20519
19067,Iowa,Floyd County,16023
19069,Iowa,Franklin County,10507
19071,Iowa,Fremont County,7069
19073,Iowa,Greene County,9159
19075,Iowa,Grundy County,12341
19077,Iowa,Guthrie County,10671
19079,Iowa,Hamilton County,15343
19081,Iowa,Hancock County,11131
19083,Iowa,Hardin County,17388
19085,Iowa,Harrison County,14357
19087,Iowa,Henry County,20021
19089,Iowa,Howard County,9439
19091,Iowa,Humboldt County,9677
19093,Iowa,Ida County,7074
19095,Iowa,Iowa County,16281
19097,Iowa,Jackson County,19517
19099,Iowa,Jasper County,36728
19101,Iowa,Jefferson County,17629
19103,Iowa,Johnson County,140151
19105,Iowa,Jones County,20519
19107,Iowa,Keokuk County,10337
19109,Iowa,Kossuth County,15332
19111,Iowa,Lee County,35236
19113,Iowa,Linn County,216488
19115,Iowa,Louisa County,11348
19117,Iowa,Lucas County,8697
19119,Iowa,Lyon County,11695
19121,Iowa,Madison County,15483
19123,Iowa,Mahaska County,22421
19125,Iowa,Marion County,33014
19127,Iowa,Marshall County,40995
19129,Iowa,Mills County,14905
19131,Iowa,Mitchell County,10669
19133,Iowa,Monona County,9032
19135,Iowa,Monroe County,7979
19137,Iowa,Montgomery County,10404
19139,Iowa,Muscatine County,43010
19141,Iowa,O'Brien County,14045
19143,Iowa,Osceola County,6236
19145,Iowa,Page County,15516
19147,Iowa,Palo Alto County,9164
19149,Iowa,Plymouth County,24931
19151,Iowa,Pocahontas County,7112
19153,Iowa,Polk County,452657
19155,Iowa,Pottawattamie County,92855
19157,Iowa,Poweshiek County,18606
19159,Iowa,Ringgold County,4971
19161,Iowa,Sac County,10030
19163,Iowa,Scott County,170201
19165,Iowa,Shelby County,11899
19167,Iowa,Sioux County,34503
19169,Iowa,Story County,93877
19171,Iowa,Tama County,17430
19173,Iowa,Taylor County,6233
19175,Iowa,Union County,12616
19177,Iowa,Van Buren County,7434
19179,Iowa,Wapello County,35507
19181,Iowa,Warren County,47358
19183,Iowa,Washington County,21944
19185,Iowa,Wayne County,6385
19187,Iowa,Webster County,37327
19189,Iowa,Winnebago County,10430
19191,Iowa,Winneshiek County,20840
19193,Iowa,Woodbury County,102284
19195,Iowa,Worth County,7489
19197,Iowa,Wright County,12982
20000,Kansas,Kansas,2893212
20001,Kansas,Allen County,13069
20003,Kansas,Anderson County,7854
20005,Kansas,Atchison County,16688
20007,Kansas,Barber County,4909
20009,Kansas,Barton County,27443
20011,Kansas,Bourbon County,14835
20013,Kansas,Brown County,9912
20015,Kansas,Butler County,65671
20017,Kansas,Chase County,2690
20019,Kansas,Chautauqua County,3529
20021,Kansas,Cherokee County,20899
20023,Kansas,Cheyenne County,2671
20025,Kansas,Clark County,2178
20027,Kansas,Clay County,8388
20029,Kansas,Cloud County,9355
20031,Kansas,Coffey County,8377
20033,Kansas,Comanche County,1926
20035,Kansas,Cowley County,36170
20037,Kansas,Crawford County,39250
20039,Kansas,Decatur County,2908
20041,Kansas,Dickinson County,19433
20043,Kansas,Doniphan County,7876
20045,Kansas,Douglas County,114713
20047,Kansas,Edwards County,2967
20049,Kansas,Elk County,2633
20051,Kansas,Ellis County,29030
20053,Kansas,Ellsworth County,6365
20055,Kansas,Finney County,37073
20057,Kansas,Ford County,34879
20059,Kansas,Franklin County,25734
20061,Kansas,Geary County,36797
20063,Kansas,Gove County,2794
20065,Kansas,Graham County,2588
20067,Kansas,Grant County,7846
20069,Kansas,Gray County,5980
20071,Kansas,Greeley County,1283
20073,Kansas,Greenwood County,6358
20075,Kansas,Hamilton County,2620
20077,Kansas,Harper County,5842
20079,Kansas,Harvey County,34715
20081,Kansas,Haskell County,4126
20083,Kansas,Hodgeman County,1924
20085,Kansas,Jackson County,13310
20087,Kansas,Jefferson County,18773
20089,Kansas,Jewell County,3060
20091,Kansas,Johnson County,566351
20093,Kansas,Kearny County,3912
20095,Kansas,Kingman County,7801
20097,Kansas,Kiowa County,2534
20099,Kansas,Labette County,20871
20101,Kansas,Lane County,1698
20103,Kansas,Leavenworth County,78082
20105,Kansas,Lincoln County,3161
20107,Kansas,Linn County,9543
20109,Kansas,Logan County,2775
20111,Kansas,Lyon County,33479
20113,Kansas,McPherson County,29415
20115,Kansas,Marion County,12205
20117,Kansas,Marshall County,9973
20119,Kansas,Meade County,4286
20121,Kansas,Miami County,32834
20123,Kansas,Mitchell County,6309
20125,Kansas,Montgomery County,34444
20127,Kansas,Morris County,5719
20129,Kansas,Morton County,3116
20131,Kansas,Nemaha County,10092
20133,Kansas,Neosho County,16383
20135,Kansas,Ness County,3087
20137,Kansas,Norton County,5614
20139,Kansas,Osage County,16080
20141,Kansas,Osborne County,3800
20143,Kansas,Ottawa County,6044
20145,Kansas,Pawnee County,6863
20147,Kansas,Phillips County,5560
20149,Kansas,Pottawatomie County,22574
20151,Kansas,Pratt County,9778
20153,Kansas,Rawlins County,2563
20155,Kansas,Reno County,64079
20157,Kansas,Republic County,4767
20159,Kansas,Rice County,9978
20161,Kansas,Riley County,76923
20163,Kansas,Rooks County,5195
20165,Kansas,Rush County,3176
20167,Kansas,Russell County,6977
20169,Kansas,Saline County,55750
20171,Kansas,Scott County,4906
20173,Kansas,Sedgwick County,506442
20175,Kansas,Seward County,23311
20177,Kansas,Shawnee County,178650
20179,Kansas,Sheridan County,2500
20181,Kansas,Sherman County,6090
20183,Kansas,Smith County,3699
20185,Kansas,Stafford County,4339
20187,Kansas,Stanton County,2178
20189,Kansas,Stevens County,5808
20191,Kansas,Sumner County,23537
20193,Kansas,Thomas County,7933
20195,Kansas,Trego County,2945
20197,Kansas,Wabaunsee County,7025
20199,Kansas,Wallace County,1560
20201,Kansas,Washington County,5626
20203,Kansas,Wichita County,2192
20205,Kansas,Wilson County,9091
20207,Kansas,Woodson County,3215
20209,Kansas,Wyandotte County,160933
21000,Kentucky,Kentucky,4404659
21001,Kentucky,Adair County,19124
21003,Kentucky,Allen County,20316
21005,Kentucky,Anderson County,21747
21007,Kentucky,Ballard County,8252
21009,Kentucky,Barren County,42937
21011,Kentucky,Bath County,11975
21013,Kentucky,Bell County,28031
21015,Kentucky,Boone County,125022
21017,Kentucky,Bourbon County,20026
21019,Kentucky,Boyd County,48880
21021,Kentucky,Boyle County,29632
21023,Kentucky,Bracken County,8423
21025,Kentucky,Breathitt County,13527
21027,Kentucky,Breckinridge County,20042
21029,Kentucky,Bullitt County,76878
21031,Kentucky,Butler County,12704
21033,Kentucky,Caldwell County,12887
21035,Kentucky,Calloway County,38425
21037,Kentucky,Campbell County,91423
21039,Kentucky,Carlisle County,4959
21041,Kentucky,Carroll County,10838
21043,Kentucky,Carter County,27600
21045,Kentucky,Casey County,16011
21047,Kentucky,Christian County,73612
21049,Kentucky,Clark County,35550
21051,Kentucky,Clay County,21186
21053,Kentucky,Clinton County,10175
21055,Kentucky,Crittenden County,9178
21057,Kentucky,Cumberland County,6790
21059,Kentucky,Daviess County,98294
21061,Kentucky,Edmonson County,12058
21063,Kentucky,Elliott County,7551
21065,Kentucky,Estill County,14482
21067,Kentucky,Fayette County,309865
21069,Kentucky,Fleming County,14536
21071,Kentucky,Floyd County,38474
21073,Kentucky,Franklin County,49478
21075,Kentucky,Fulton County,6389
21077,Kentucky,Gallatin County,8578
21079,Kentucky,Garrard County,16992
21081,Kentucky,Grant County,24565
21083,Kentucky,Graves County,37406
21085,Kentucky,Grayson County,25948
21087,Kentucky,Green County,11154
21089,Kentucky,Greenup County,36483
21091,Kentucky,Hancock County,8626
21093,Kentucky,Hardin County,108969
21095,Kentucky,Harlan County,28489
21097,Kentucky,Harrison County,18571
21099,Kentucky,Hart County,18464
21101,Kentucky,Henderson County,46338
21103,Kentucky,Henry County,15432
21105,Kentucky,Hickman County,4708
21107,Kentucky,Hopkins County,46424
21109,Kentucky,Jackson County,13391
21111,Kentucky,Jefferson County,759183
21113,Kentucky,Jessamine County,50120
21115,Kentucky,Johnson County,23458
21117,Kentucky,Kenton County,163131
21119,Kentucky,Knott County,16092
21121,Kentucky,Knox County,31638
21123,Kentucky,Larue County,14019
21125,Kentucky,Laurel County,59701
21127,Kentucky,Lawrence County,15901
21129,Kentucky,Lee County,6876
21131,Kentucky,Leslie County,10985
21133,Kentucky,Letcher County,23540
21135,Kentucky,Lewis County,13751
21137,Kentucky,Lincoln County,24438
21139,Kentucky,Livingston County,9332
21141,Kentucky,Logan County,26976
21143,Kentucky,Lyon County,8452
21145,Kentucky,McCracken County,65337
21147,Kentucky,McCreary County,17925
21149,Kentucky,McLean County,9453
21151,Kentucky,Madison County,85934
21153,Kentucky,Magoffin County,12941
21155,Kentucky,Marion County,19928
21157,Kentucky,Marshall County,31215
21159,Kentucky,Martin County,12651
21161,Kentucky,Mason County,17323
21163,Kentucky,Meade County,29240
21165,Kentucky,Menifee County,6341
21167,Kentucky,Mercer County,21291
21169,Kentucky,Metcalfe County,9960
21171,Kentucky,Monroe County,10715
21173,Kentucky,Montgomery County,27229
21175,Kentucky,Morgan County,13362
21177,Kentucky,Muhlenberg County,31323
21179,Kentucky,Nelson County,44540
21181,Kentucky,Nicholas County,7008
21183,Kentucky,Ohio County,23975
21185,Kentucky,Oldham County,63062
21187,Kentucky,Owen County,10645
21189,Kentucky,Owsley County,4599
21191,Kentucky,Pendleton County,14565
21193,Kentucky,Perry County,27982
21195,Kentucky,Pike County,63853
21197,Kentucky,Powell County,12470
21199,Kentucky,Pulaski County,63793
21201,Kentucky,Robertson County,2214
21203,Kentucky,Rockcastle County,16742
21205,Kentucky,Rowan County,24210
21207,Kentucky,Russell County,17749
21209,Kentucky,Scott County,50000
21211,Kentucky,Shelby County,44460
21213,Kentucky,Simpson County,17681
21215,Kentucky,Spencer County,17678
21217,Kentucky,Taylor County,25159
21219,Kentucky,Todd County,12475
21221,Kentucky,Trigg County,14300
21223,Kentucky,Trimble County,8805
21225,Kentucky,Union County,15061
21227,Kentucky,Warren County,119575
21229,Kentucky,Washington County,11849
21231,Kentucky,Wayne County,20782
21233,Kentucky,Webster County,13357
21235,Kentucky,Whitley County,35870
21237,Kentucky,Wolfe County,7279
21239,Kentucky,Woodford County,25345
22000,Louisiana,Louisiana,4624527
22001,Louisiana,Acadia Parish,62299
22003,Louisiana,Allen Parish,25664
22005,Louisiana,Ascension Parish,114636
22007,Louisiana,Assumption Parish,23199
22009,Louisiana,Avoyelles Parish,41275
22011,Louisiana,Beauregard Parish,36260
22013,Louisiana,Bienville Parish,13961
22015,Louisiana,Bossier Parish,124021
22017,Louisiana,Caddo Parish,255127
22019,Louisiana,Calcasieu Parish,195492
22021,Louisiana,Caldwell Parish,9984
22023,Louisiana,Cameron Parish,6713
22025,Louisiana,Catahoula Parish,10251
22027,Louisiana,Claiborne Parish,16662
22029,Louisiana,Concordia Parish,20500
22031,Louisiana,De Soto Parish,27089
22033,Louisiana,East Baton Rouge Parish,444181
22035,Louisiana,East Carroll Parish,7500
22037,Louisiana,East Feliciana Parish,19601
22039,Louisiana,Evangeline Parish,33827
22041,Louisiana,Franklin Parish,20508
22043,Louisiana,Grant Parish,22301
22045,Louisiana,Iberia Parish,73839
22047,Louisiana,Iberville Parish,33385
22049,Louisiana,Jackson Parish,16130
22051,Louisiana,Jefferson Parish,434264
22053,Louisiana,Jefferson Davis Parish,31295
22055,Louisiana,Lafayette Parish,231471
22057,Louisiana,Lafourche Parish,97276
22059,Louisiana,LaSalle Parish,14821
22061,Louisiana,Lincoln Parish,47233
22063,Louisiana,Livingston Parish,133668
22065,Louisiana,Madison Parish,11908
22067,Louisiana,Morehouse Parish,26938
22069,Louisiana,Natchitoches Parish,39118
22071,Louisiana,Orleans Parish,378637
22073,Louisiana,Ouachita Parish,156062
22075,Louisiana,Plaquemines Parish,23509
22077,Louisiana,Pointe Coupee Parish,22429
22079,Louisiana,Rapides Parish,132322
22081,Louisiana,Red River Parish,8957
22083,Louisiana,Richland Parish,20913
22085,Louisiana,Sabine Parish,24261
22087,Louisiana,St. Bernard Parish,43430
22089,Louisiana,St. Charles Parish,52614
22091,Louisiana,St. Helena Parish,10771
22093,Louisiana,St. James Parish,21607
22095,Louisiana,St. John the Baptist Parish,43570
22097,Louisiana,St. Landry Parish,83415
22099,Louisiana,St. Martin Parish,52901
22101,Louisiana,St. Mary Parish,53581
22103,Louisiana,St. Tammany Parish,241953
22105,Louisiana,Tangipahoa Parish,125520
22107,Louisiana,Tensas Parish,4933
22109,Louisiana,Terrebonne Parish,112707
22111,Louisiana,Union Parish,22454
22113,Louisiana,Vermilion Parish,59284
22115,Louisiana,Vernon Parish,52815
22117,Louisiana,Washington Parish,46407
22119,Louisiana,Webster Parish,40660
22121,Louisiana,West Baton Rouge Parish,24654
22123,Louisiana,West Carroll Parish,11453
22125,Louisiana,West Feliciana Parish,15462
22127,Louisiana,Winn Parish,14849
23000,Maine,Maine,1328009
23001,Maine,Androscoggin County,107223
23003,Maine,Aroostook County,70064
23005,Maine,Cumberland County,285537
23007,Maine,Franklin County,30477
23009,Maine,Hancock County,54566
23011,Maine,Kennebec County,121139
23013,Maine,Knox County,39691
23015,Maine,Lincoln County,34087
23017,Maine,Oxford County,57397
23019,Maine,Penobscot County,153222
23021,Maine,Piscataquis County,17173
23023,Maine,Sagadahoc County,35021
23025,Maine,Somerset County,51698
23027,Maine,Waldo County,39025
23029,Maine,Washington County,32260
23031,Maine,York County,199429
24000,Maryland,Maryland,5923188
24001,Maryland,Allegany County,73576
24003,Maryland,Anne Arundel County,555417
24005,Maryland,Baltimore County,822274
24009,Maryland,Calvert County,90444
24011,Maryland,Caroline County,32642
24013,Maryland,Carroll County,167217
24015,Maryland,Cecil County,101887
24017,Maryland,Charles County,152645
24019,Maryland,Dorchester County,32555
24021,Maryland,Frederick County,241129
24023,Maryland,Garrett County,29965
24025,Maryland,Harford County,248890
24027,Maryland,Howard County,303527
24029,Maryland,Kent County,19816
24031,Maryland,Montgomery County,1015172
24033,Maryland,Prince George's County,890658
24035,Maryland,Queen Anne's County,48517
24037,Maryland,St. Mary's County,109224
24039,Maryland,Somerset County,25959
24041,Maryland,Talbot County,37896
24043,Maryland,Washington County,148986
24045,Maryland,Wicomico County,100850
24047,Maryland,Worcester County,51551
24510,Maryland,Baltimore city,622391
25000,Massachusetts,Massachusetts,6713315
25001,Massachusetts,Barnstable County,214518
25003,Massachusetts,Berkshire County,129488
25005,Massachusetts,Bristol County,552379
25007,Massachusetts,Dukes County,17159
25009,Massachusetts,Essex County,764563
25011,Massachusetts,Franklin County,71361
25013,Massachusetts,Hampden County,467747
25015,Massachusetts,Hampshire County,160856
25017,Massachusetts,Middlesex County,1560204
25019,Massachusetts,Nantucket County,10569
25021,Massachusetts,Norfolk County,688345
25023,Massachusetts,Plymouth County,502792
25025,Massachusetts,Suffolk County,762488
25027,Massachusetts,Worcester County,810846
26000,Michigan,Michigan,9913065
26001,Michigan,Alcona County,10554
26003,Michigan,Alger County,9438
26005,Michigan,Allegan County,112009
26007,Michigan,Alpena County,28957
26009,Michigan,Antrim County,23123
26011,Michigan,Arenac County,15413
26013,Michigan,Baraga County,8718
26015,Michigan,Barry County,59090
26017,Michigan,Bay County,106794
26019,Michigan,Benzie County,17348
26021,Michigan,Berrien County,156129
26023,Michigan,Branch County,43587
26025,Michigan,Calhoun County,134751
26027,Michigan,Cass County,51585
26029,Michigan,Charlevoix County,26252
26031,Michigan,Cheboygan County,25573
26033,Michigan,Chippewa County,38569
26035,Michigan,Clare County,30600
26037,Michigan,Clinton County,76809
26039,Michigan,Crawford County,13877
26041,Michigan,Delta County,36799
26043,Michigan,Dickinson County,26015
26045,Michigan,Eaton County,108264
26047,Michigan,Emmet County,32946
26049,Michigan,Genesee County,415639
26051,Michigan,Gladwin County,25565
26053,Michigan,Gogebic County,15908
26055,Michigan,Grand Traverse County,90099
26057,Michigan,Gratiot County,41931
26059,Michigan,Hillsdale County,46131
26061,Michigan,Houghton County,36676
26063,Michigan,Huron County,32256
26065,Michigan,Ingham County,284113
26067,Michigan,Ionia County,63991
26069,Michigan,Iosco County,25427
26071,Michigan,Iron County,11500
26073,Michigan,Isabella County,70224
26075,Michigan,Jackson County,159628
26077,Michigan,Kalamazoo County,257311
26079,Michigan,Kalkaska County,17290
26081,Michigan,Kent County,624303
26083,Michigan,Keweenaw County,2142
26085,Michigan,Lake County,11396
26087,Michigan,Lapeer County,88291
26089,Michigan,Leelanau County,21478
26091,Michigan,Lenawee County,98822
26093,Michigan,Livingston County,184205
26095,Michigan,Luce County,6503
26097,Michigan,Mackinac County,11007
26099,Michigan,Macomb County,857110
26101,Michigan,Manistee County,24481
26103,Michigan,Marquette County,67773
26105,Michigan,Mason County,28668
26107,Michigan,Mecosta County,43260
26109,Michigan,Menominee County,23725
26111,Michigan,Midland County,83651
26113,Michigan,Missaukee County,15058
26115,Michigan,Monroe County,150139
26117,Michigan,Montcalm County,62794
26119,Michigan,Montmorency County,9378
26121,Michigan,Muskegon County,172273
26123,Michigan,Newaygo County,47869
26125,Michigan,Oakland County,1235468
26127,Michigan,Oceana County,26298
26129,Michigan,Ogemaw County,21160
26131,Michigan,Ontonagon County,6321
26133,Michigan,Osceola County,23322
26135,Michigan,Oscoda County,8369
26137,Michigan,Otsego County,24078
26139,Michigan,Ottawa County,274385
26141,Michigan,Presque Isle County,13010
26143,Michigan,Roscommon County,24023
26145,Michigan,Saginaw County,196794
26147,Michigan,St. Clair County,160288
26149,Michigan,St. Joseph County,60989
26151,Michigan,Sanilac County,41901
26153,Michigan,Schoolcraft County,8263
26155,Michigan,Shiawassee County,68903
26157,Michigan,Tuscola County,54216
26159,Michigan,Van Buren County,75318
26161,Michigan,Washtenaw County,356040
26163,Michigan,Wayne County,1780225
26165,Michigan,Wexford County,32479
27000,Minnesota,Minnesota,5413479
27001,Minnesota,Aitkin County,15872
27003,Minnesota,Anoka County,339075
27005,Minnesota,Becker County,33181
27007,Minnesota,Beltrami County,45487
27009,Minnesota,Benton County,38975
27011,Minnesota,Big Stone County,5069
27013,Minnesota,Blue Earth County,64737
27015,Minnesota,Brown County,25267
27017,Minnesota,Carlton County,35275
27019,Minnesota,Carver County,95610
27021,Minnesota,Cass County,28485
27023,Minnesota,Chippewa County,12071
27025,Minnesota,Chisago County,53660
27027,Minnesota,Clay County,60523
27029,Minnesota,Clearwater County,8783
27031,Minnesota,Cook County,5186
27033,Minnesota,Cottonwood County,11554
27035,Minnesota,Crow Wing County,62998
27037,Minnesota,Dakota County,407895
27039,Minnesota,Dodge County,20334
27041,Minnesota,Douglas County,36349
27043,Minnesota,Faribault County,14099
27045,Minnesota,Fillmore County,20751
27047,Minnesota,Freeborn County,30923
27049,Minnesota,Goodhue County,46106
27051,Minnesota,Grant County,5956
27053,Minnesota,Hennepin County,1198069
27055,Minnesota,Houston County,18774
27057,Minnesota,Hubbard County,20697
27059,Minnesota,Isanti County,38064
27061,Minnesota,Itasca County,45335
27063,Minnesota,Jackson County,10281
27065,Minnesota,Kanabec County,16008
27067,Minnesota,Kandiyohi County,42450
27069,Minnesota,Kittson County,4498
27071,Minnesota,Koochiching County,13088
27073,Minnesota,Lac qui Parle County,7005
27075,Minnesota,Lake County,10706
27077,Minnesota,Lake of the Woods County,3910
27079,Minnesota,Le Sueur County,27705
27081,Minnesota,Lincoln County,5755
27083,Minnesota,Lyon County,25722
27085,Minnesota,McLeod County,35900
27087,Minnesota,Mahnomen County,5468
27089,Minnesota,Marshall County,9430
27091,Minnesota,Martin County,20422
27093,Minnesota,Meeker County,23087
27095,Minnesota,Mille Lacs County,25658
27097,Minnesota,Morrison County,32865
27099,Minnesota,Mower County,39330
27101,Minnesota,Murray County,8507
27103,Minnesota,Nicollet County,32981
27105,Minnesota,Nobles County,21797
27107,Minnesota,Norman County,6596
27109,Minnesota,Olmsted County,148851
27111,Minnesota,Otter Tail County,57492
27113,Minnesota,Pennington County,14139
27115,Minnesota,Pine County,29076
27117,Minnesota,Pipestone County,9302
27119,Minnesota,Polk County,31639
27121,Minnesota,Pope County,10879
27123,Minnesota,Ramsey County,527131
27125,Minnesota,Red Lake County,4031
27127,Minnesota,Redwood County,15685
27129,Minnesota,Renville County,15069
27131,Minnesota,Rice County,64639
27133,Minnesota,Rock County,9428
27135,Minnesota,Roseau County,15497
27137,Minnesota,St. Louis County,200452
27139,Minnesota,Scott County,137244
27141,Minnesota,Sherburne County,90069
27143,Minnesota,Sibley County,15055
27145,Minnesota,Stearns County,152577
27147,Minnesota,Steele County,36363
27149,Minnesota,Stevens County,9747
27151,Minnesota,Swift County,9552
27153,Minnesota,Todd County,24488
27155,Minnesota,Traverse County,3402
27157,Minnesota,Wabasha County,21566
27159,Minnesota,Wadena County,13641
27161,Minnesota,Waseca County,19036
27163,Minnesota,Washington County,245946
27165,Minnesota,Watonwan County,11049
27167,Minnesota,Wilkin County,6496
27169,Minnesota,Winona County,51332
27171,Minnesota,Wright County,128199
27173,Minnesota,Yellow Medicine County,10078
28000,Mississippi,Mississippi,2988711
28001,Mississippi,Adams County,32111
28003,Mississippi,Alcorn County,37281
28005,Mississippi,Amite County,12856
28007,Mississippi,Attala County,19110
28009,Mississippi,Benton County,8493
28011,Mississippi,Bolivar County,33979
28013,Mississippi,Calhoun County,14708
28015,Mississippi,Carroll County,10323
28017,Mississippi,Chickasaw County,17384
28019,Mississippi,Choctaw County,8461
28021,Mississippi,Claiborne County,9143
28023,Mississippi,Clarke County,16417
28025,Mississippi,Clay County,20355
28027,Mississippi,Coahoma County,25182
28029,Mississippi,Copiah County,28941
28031,Mississippi,Covington County,19208
28033,Mississippi,DeSoto County,168370
28035,Mississippi,Forrest County,76584
28037,Mississippi,Franklin County,7876
28039,Mississippi,George County,23213
28041,Mississippi,Greene County,14288
28043,Mississippi,Grenada County,21529
28045,Mississippi,Hancock County,45522
28047,Mississippi,Harrison County,196134
28049,Mississippi,Hinds County,246250
28051,Mississippi,Holmes County,18802
28053,Mississippi,Humphreys County,8963
28055,Mississippi,Issaquena County,1406
28057,Mississippi,Itawamba County,23373
28059,Mississippi,Jackson County,140324
28061,Mississippi,Jasper County,16496
28063,Mississippi,Jefferson County,7655
28065,Mississippi,Jefferson Davis County,11944
28067,Mississippi,Jones County,68954
28069,Mississippi,Kemper County,10294
28071,Mississippi,Lafayette County,51565
28073,Mississippi,Lamar County,59170
28075,Mississippi,Lauderdale County,80228
28077,Mississippi,Lawrence County,12597
28079,Mississippi,Leake County,23267
28081,Mississippi,Lee County,84970
28083,Mississippi,Leflore County,30746
28085,Mississippi,Lincoln County,34725
28087,Mississippi,Lowndes County,59803
28089,Mississippi,Madison County,99485
28091,Mississippi,Marion County,26055
28093,Mississippi,Marshall County,36457
28095,Mississippi,Monroe County,36148
28097,Mississippi,Montgomery County,10579
28099,Mississippi,Neshoba County,29533
28101,Mississippi,Newton County,21518
28103,Mississippi,Noxubee County,11055
28105,Mississippi,Oktibbeha County,49105
28107,Mississippi,Panola County,34395
28109,Mississippi,Pearl River County,54833
28111,Mississippi,Perry County,12009
28113,Mississippi,Pike County,39939
28115,Mississippi,Pontotoc County,30667
28117,Mississippi,Prentiss County,25467
28119,Mississippi,Quitman County,7818
28121,Mississippi,Rankin County,147321
28123,Mississippi,Scott County,28328
28125,Mississippi,Sharkey County,4677
28127,Mississippi,Simpson County,27531
28129,Mississippi,Smith County,16229
28131,Mississippi,Stone County,17960
28133,Mississippi,Sunflower County,27906
28135,Mississippi,Tallahatchie County,14942
28137,Mississippi,Tate County,28347
28139,Mississippi,Tippah County,21999
28141,Mississippi,Tishomingo County,19504
28143,Mississippi,Tunica County,10454
28145,Mississippi,Union County,27771
28147,Mississippi,Walthall County,14852
28149,Mississippi,Warren County,48289
28151,Mississippi,Washington County,49661
28153,Mississippi,Wayne County,20461
28155,Mississippi,Webster County,9947
28157,Mississippi,Wilkinson County,9340
28159,Mississippi,Winston County,18757
28161,Mississippi,Yalobusha County,12377
28163,Mississippi,Yazoo County,27995
29000,Missouri,Missouri,6040715
29001,Missouri,Adair County,25703
29003,Missouri,Andrew County,17305
29005,Missouri,Atchison County,5422
29007,Missouri,Audrain County,25545
29009,Missouri,Barry County,35331
29011,Missouri,Barton County,12175
29013,Missouri,Bates County,16428
29015,Missouri,Benton County,18941
29017,Missouri,Bollinger County,12481
29019,Missouri,Boone County,170975
29021,Missouri,Buchanan County,89826
29023,Missouri,Butler County,42961
29025,Missouri,Caldwell County,9040
29027,Missouri,Callaway County,44528
29029,Missouri,Camden County,44294
29031,Missouri,Cape Girardeau County,77458
29033,Missouri,Carroll County,9055
29035,Missouri,Carter County,6343
29037,Missouri,Cass County,100676
29039,Missouri,Cedar County,13773
29041,Missouri,Chariton County,7634
29043,Missouri,Christian County,80621
29045,Missouri,Clark County,6898
29047,Missouri,Clay County,230306
29049,Missouri,Clinton County,20562
29051,Missouri,Cole County,76722
29053,Missouri,Cooper County,17610
29055,Missouri,Crawford County,24530
29057,Missouri,Dade County,7531
29059,Missouri,Dallas County,16458
29061,Missouri,Daviess County,8300
29063,Missouri,DeKalb County,12628
29065,Missouri,Dent County,15742
29067,Missouri,Douglas County,13440
29069,Missouri,Dunklin County,31724
29071,Missouri,Franklin County,101712
29073,Missouri,Gasconade County,14806
29075,Missouri,Gentry County,6736
29077,Missouri,Greene County,283605
29079,Missouri,Grundy County,10346
29081,Missouri,Harrison County,8710
29083,Missouri,Henry County,22116
29085,Missouri,Hickory County,9347
29087,Missouri,Holt County,4591
29089,Missouri,Howard County,10239
29091,Missouri,Howell County,40236
29093,Missouri,Iron County,10461
29095,Missouri,Jackson County,679841
29097,Missouri,Jasper County,116766
29099,Missouri,Jefferson County,220870
29101,Missouri,Johnson County,54139
29103,Missouri,Knox County,4060
29105,Missouri,Laclede County,35654
29107,Missouri,Lafayette County,32823
29109,Missouri,Lawrence County,38104
29111,Missouri,Lewis County,10111
29113,Missouri,Lincoln County,53785
29115,Missouri,Linn County,12330
29117,Missouri,Livingston County,14874
29119,Missouri,McDonald County,22629
29121,Missouri,Macon County,15475
29123,Missouri,Madison County,12270
29125,Missouri,Maries County,9037
29127,Missouri,Marion County,28769
29129,Missouri,Mercer County,3664
29131,Missouri,Miller County,24812
29133,Missouri,Mississippi County,14174
29135,Missouri,Moniteau County,15742
29137,Missouri,Monroe County,8770
29139,Missouri,Montgomery County,11847
29141,Missouri,Morgan County,20122
29143,Missouri,New Madrid County,18316
29145,Missouri,Newton County,58378
29147,Missouri,Nodaway County,23151
29149,Missouri,Oregon County,10927
29151,Missouri,Osage County,13677
29153,Missouri,Ozark County,9503
29155,Missouri,Pemiscot County,17774
29157,Missouri,Perry County,19053
29159,Missouri,Pettis County,42196
29161,Missouri,Phelps County,45006
29163,Missouri,Pike County,18608
29165,Missouri,Platte County,93367
29167,Missouri,Polk County,31117
29169,Missouri,Pulaski County,54077
29171,Missouri,Putnam County,4884
29173,Missouri,Ralls County,10164
29175,Missouri,Randolph County,24945
29177,Missouri,Ray County,23064
