index,zipcode,age_years,height_in_inches,bmi,fastfood_consumption,Fresh_FV,MedianFamilyIncome,lapophalfshare,no_college,higher_ed_frac,white_frac,black_frac,hispanic_frac,asian_frac,yelp_category_fastfood_frac,male_frac,soda_consumption
8863,92551,35.78461538,65.36676923,30.68144769,0.431620637,0.601397402,57208.64,0.660282583,0.859470249,0.140529751,0.134600535,0.183694684,0.598871399,0.056816157,0.071368598,0.215384615,0.03999676
8864,92553,33.89320388,65.44282524,31.50103883,0.445611655,0.480796033,45590.71,0.612417894,0.89870394,0.10129606,0.11987988,0.159666333,0.655121788,0.045205205,0.06893617,0.233009709,0.033854351
8865,92555,39.17518248,66.39883212,30.07917226,0.479988577,0.581942844,73828.94,0.861227756,0.787710154,0.212289846,0.212332008,0.200477948,0.466614613,0.079452962,0.053494392,0.240875912,0.038771981
8866,92557,39.48611111,66.05333333,30.05895417,0.401306305,0.614662568,67737.99,0.706997499,0.822171119,0.177828881,0.247560668,0.173071327,0.492017614,0.053675001,0.064597315,0.243055556,0.029177593
8867,92562,40.20855615,66.56745508,28.45577487,0.326956138,0.573759025,82865.85,0.751147901,0.706871708,0.293128292,0.580642148,0.051415403,0.247765563,0.067406808,0.02700491,0.256684492,0.020864105
8868,92563,39.91036415,66.66879216,27.77538796,0.324035878,0.550268944,84272.45,0.760225385,0.706474036,0.293525964,0.456018862,0.071260161,0.288140344,0.103361857,0.050949914,0.299719888,0.021779471
8869,92570,36.58208955,66.4,30.97995224,0.389181525,0.521090998,55841.85,0.878168389,0.918423412,0.081576588,0.198857124,0.063734745,0.704335513,0.017733127,0.039452496,0.23880597,0.038795084
8870,92571,35.31578947,65.53192982,32.13381842,0.409880977,0.51733507,52656.33,0.731606345,0.905001397,0.094998603,0.107939536,0.114176695,0.718539037,0.040890079,0.046128501,0.219298246,0.041939841
8871,92582,38.47916667,65.62460625,31.18201667,0.517836846,0.529915184,53797.88,0.787828047,0.817166024,0.182833976,0.320395328,0.075711291,0.487930518,0.06720575,0.083185841,0.1875,0.023257041
8872,92583,36.28571429,66.105,32.190625,0.375328577,0.466936677,46664.51,0.76327968,0.868545082,0.131454918,0.340738198,0.070325419,0.525599825,0.022464198,0.069333333,0.196428571,0.028249808
8873,92584,39.10344828,66.21878276,28.97161466,0.339057982,0.63887443,81022.62,0.879896189,0.775958074,0.224041926,0.476083298,0.061581199,0.345438693,0.068313158,0.06754386,0.25,0.025027406
8874,92585,38.75609756,65.66926829,29.45964756,0.275401129,0.556504273,54211.92,0.913078754,0.846703673,0.153296327,0.365340333,0.066270609,0.506493506,0.031730681,0.052047782,0.182926829,0.022623939
8875,92586,36.9375,66.2025,29.34277083,0.378608238,0.592572936,56235.28,0.825744258,0.849540121,0.150459879,0.623895406,0.048576301,0.25301018,0.044442148,0.063102542,0.25,0.033019805
8876,92587,38.90909091,66.06201299,28.36123377,0.287878654,0.640183122,70087.2,0.887123484,0.803084223,0.196915777,0.652561637,0.009617066,0.304656991,0.017835286,0.056917688,0.194805195,0.013471727
8877,92591,40.80246914,66.1981893,27.92466049,0.322701884,0.609002591,78985.8,0.654416456,0.703299822,0.296700178,0.537008615,0.043420141,0.282849787,0.077161105,0.106306306,0.251028807,0.014577344
8878,92592,40.56719368,66.45886126,27.31414269,0.306005398,0.637946336,92014.47,0.797089916,0.659562524,0.340437476,0.5754664,0.037648967,0.231983528,0.10353778,0.103388358,0.258893281,0.018340374
8879,92595,38.81967213,66.30952623,29.56498361,0.375773393,0.582712531,75901.69,0.882107861,0.82992597,0.17007403,0.492913985,0.050220348,0.370216544,0.054437082,0.10125448,0.270491803,0.029778995
8880,92596,40.08196721,66.44131148,28.89476885,0.331645743,0.572091018,81067.26,0.995084277,0.73328083,0.26671917,0.512833655,0.044237669,0.29862398,0.104049206,0.105691057,0.295081967,0.025274668
